t'	a(t')	Trad(t')	Tb(t')	z(t')	i
------------
0.0000000e+000	2.9385836e-004	9.2748765e+003	9.2748765e+003	3.4020000e+003	0
1.0000000e-013	2.9385836e-004	9.2748764e+003	9.2748763e+003	3.4020000e+003	1
3.0000000e-013	2.9385837e-004	9.2748762e+003	9.2748759e+003	3.4019999e+003	2
7.0000000e-013	2.9385838e-004	9.2748758e+003	9.2748750e+003	3.4019997e+003	3
1.5000000e-012	2.9385841e-004	9.2748749e+003	9.2748734e+003	3.4019994e+003	4
3.1000000e-012	2.9385846e-004	9.2748733e+003	9.2748701e+003	3.4019988e+003	5
6.3000000e-012	2.9385857e-004	9.2748700e+003	9.2748634e+003	3.4019976e+003	6
1.2700000e-011	2.9385878e-004	9.2748633e+003	9.2748501e+003	3.4019952e+003	7
2.5500000e-011	2.9385920e-004	9.2748500e+003	9.2748235e+003	3.4019903e+003	8
5.1100000e-011	2.9386004e-004	9.2748234e+003	9.2747704e+003	3.4019805e+003	9
1.0230000e-010	2.9386173e-004	9.2747702e+003	9.2746645e+003	3.4019610e+003	10
2.0470000e-010	2.9386510e-004	9.2746637e+003	9.2744537e+003	3.4019219e+003	11
4.0950000e-010	2.9387185e-004	9.2744509e+003	9.2740360e+003	3.4018438e+003	12
8.1910000e-010	2.9388533e-004	9.2740253e+003	9.2732162e+003	3.4016877e+003	13
1.6383000e-009	2.9391231e-004	9.2731741e+003	9.2716350e+003	3.4013754e+003	14
3.2767000e-009	2.9396625e-004	9.2714724e+003	9.2686799e+003	3.4007510e+003	15
6.5535000e-009	2.9407413e-004	9.2680713e+003	9.2634263e+003	3.3995031e+003	16
1.3107100e-008	2.9428982e-004	9.2612785e+003	9.2545857e+003	3.3970108e+003	17
2.6214300e-008	2.9472097e-004	9.2477303e+003	9.2397235e+003	3.3920399e+003	18
3.9321500e-008	2.9515179e-004	9.2342316e+003	9.2259527e+003	3.3870872e+003	19
5.2428700e-008	2.9558230e-004	9.2207822e+003	9.2124349e+003	3.3821525e+003	20
6.5535900e-008	2.9601249e-004	9.2073817e+003	9.1990063e+003	3.3772358e+003	21
7.8643100e-008	2.9644237e-004	9.1940299e+003	9.1856344e+003	3.3723370e+003	22
9.1750300e-008	2.9687193e-004	9.1807265e+003	9.1723125e+003	3.3674559e+003	23
1.0485750e-007	2.9730118e-004	9.1674713e+003	9.1590391e+003	3.3625925e+003	24
1.1796470e-007	2.9773011e-004	9.1542638e+003	9.1458135e+003	3.3577466e+003	25
1.3107190e-007	2.9815874e-004	9.1411040e+003	9.1326356e+003	3.3529182e+003	26
1.4417910e-007	2.9858705e-004	9.1279914e+003	9.1195049e+003	3.3481071e+003	27
1.5728630e-007	2.9901505e-004	9.1149258e+003	9.1064213e+003	3.3433133e+003	28
1.7039350e-007	2.9944274e-004	9.1019070e+003	9.0933844e+003	3.3385366e+003	29
1.8350070e-007	2.9987013e-004	9.0889347e+003	9.0803940e+003	3.3337770e+003	30
1.9660790e-007	3.0029720e-004	9.0760086e+003	9.0674498e+003	3.3290344e+003	31
2.0971510e-007	3.0072397e-004	9.0631285e+003	9.0545515e+003	3.3243086e+003	32
2.2282230e-007	3.0115044e-004	9.0502940e+003	9.0416990e+003	3.3195995e+003	33
2.3592950e-007	3.0157660e-004	9.0375050e+003	9.0288919e+003	3.3149072e+003	34
2.4903670e-007	3.0200245e-004	9.0247612e+003	9.0161300e+003	3.3102314e+003	35
2.6214390e-007	3.0242800e-004	9.0120623e+003	9.0034130e+003	3.3055721e+003	36
2.7525110e-007	3.0285325e-004	8.9994080e+003	8.9907406e+003	3.3009292e+003	37
2.8835830e-007	3.0327820e-004	8.9867982e+003	8.9781127e+003	3.2963026e+003	38
