t'	a(t')	Trad(t')	Tb(t')	z(t')	i
------------
0.00000e+000	2.93858e-004	9.27488e+003	9.27488e+003	3.40200e+003	0
1.00000e-011	2.93859e-004	9.27487e+003	9.27486e+003	3.40200e+003	1
4.00000e-011	2.93860e-004	9.27483e+003	9.27479e+003	3.40198e+003	2
1.30000e-010	2.93863e-004	9.27474e+003	9.27461e+003	3.40195e+003	3
4.00000e-010	2.93872e-004	9.27446e+003	9.27405e+003	3.40185e+003	4
1.21000e-009	2.93898e-004	9.27362e+003	9.27236e+003	3.40154e+003	5
3.64000e-009	2.93978e-004	9.27110e+003	9.26732e+003	3.40061e+003	6
6.07000e-009	2.94058e-004	9.26857e+003	9.26228e+003	3.39969e+003	7
8.50000e-009	2.94138e-004	9.26605e+003	9.25725e+003	3.39876e+003	8
1.09300e-008	2.94218e-004	9.26353e+003	9.25222e+003	3.39784e+003	9
1.33600e-008	2.94298e-004	9.26102e+003	9.24720e+003	3.39691e+003	10
1.57900e-008	2.94378e-004	9.25850e+003	9.24218e+003	3.39599e+003	11
1.82200e-008	2.94458e-004	9.25599e+003	9.23718e+003	3.39507e+003	12
2.06500e-008	2.94538e-004	9.25348e+003	9.23217e+003	3.39415e+003	13
2.30800e-008	2.94618e-004	9.25097e+003	9.22718e+003	3.39323e+003	14
2.55100e-008	2.94698e-004	9.24846e+003	9.22219e+003	3.39231e+003	15
2.79400e-008	2.94778e-004	9.24595e+003	9.21720e+003	3.39139e+003	16
3.03700e-008	2.94858e-004	9.24345e+003	9.21223e+003	3.39047e+003	17
3.28000e-008	2.94937e-004	9.24094e+003	9.20725e+003	3.38955e+003	18
3.52300e-008	2.95017e-004	9.23844e+003	9.20229e+003	3.38863e+003	19
3.76600e-008	2.95097e-004	9.23594e+003	9.19733e+003	3.38771e+003	20
4.00900e-008	2.95177e-004	9.23344e+003	9.19237e+003	3.38680e+003	21
4.25200e-008	2.95257e-004	9.23095e+003	9.18742e+003	3.38588e+003	22
4.49500e-008	2.95337e-004	9.22845e+003	9.18248e+003	3.38497e+003	23
4.73800e-008	2.95417e-004	9.22596e+003	9.17754e+003	3.38405e+003	24
4.98100e-008	2.95496e-004	9.22347e+003	9.17261e+003	3.38314e+003	25
5.22400e-008	2.95576e-004	9.22098e+003	9.16768e+003	3.38222e+003	26
5.46700e-008	2.95656e-004	9.21849e+003	9.16276e+003	3.38131e+003	27
5.71000e-008	2.95736e-004	9.21600e+003	9.15784e+003	3.38040e+003	28
