TB
100|	6.1e-036	
110|	9.1e-036	
120|	1.3e-035	
130|	1.7e-035	
140|	2.3e-035	
150|	2.9e-035	
160|	3.6e-035	
170|	4.4e-035	
180|	5.2e-035	
190|	6.2e-035	
200|	7.2e-035	
210|	8.4e-035	
220|	9.6e-035	
230|	1.1e-034	
240|	1.2e-034	
250|	1.4e-034	
260|	1.6e-034	
270|	1.7e-034	
280|	1.9e-034	
290|	2.1e-034	
300|	2.3e-034	
310|	2.7e-034	
320|	3.0e-034	
330|	3.4e-034	
340|	3.8e-034	
350|	4.3e-034	
360|	4.8e-034	
370|	5.3e-034	
380|	5.8e-034	
390|	6.3e-034	
400|	6.9e-034	
410|	8.0e-034	
420|	9.2e-034	
430|	1.0e-033	
440|	1.2e-033	
450|	1.3e-033	
460|	1.4e-033	
470|	1.6e-033	
480|	1.8e-033	
490|	1.9e-033	
500|	2.1e-033	
510|	2.4e-033	
520|	2.7e-033	
530|	3.0e-033	
540|	3.3e-033	
550|	3.6e-033	
560|	4.0e-033	
570|	4.4e-033	
580|	4.7e-033	
590|	5.1e-033	
600|	5.5e-033	
610|	6.1e-033	
620|	6.7e-033	
630|	7.4e-033	
640|	8.0e-033	
650|	8.7e-033	
660|	9.4e-033	
670|	1.0e-032	
680|	1.1e-032	
690|	1.2e-032	
700|	1.2e-032	
710|	1.3e-032	
720|	1.4e-032	
730|	1.6e-032	
740|	1.7e-032	
750|	1.8e-032	
760|	1.9e-032	
770|	2.0e-032	
780|	2.1e-032	
790|	2.3e-032	
800|	2.4e-032	
810|	2.6e-032	
820|	2.7e-032	
830|	2.9e-032	
840|	3.1e-032	
850|	3.2e-032	
860|	3.4e-032	
870|	3.6e-032	
880|	3.8e-032	
890|	4.0e-032	
900|	4.1e-032	
910|	4.4e-032	
920|	4.6e-032	
930|	4.8e-032	
940|	5.1e-032	
950|	5.3e-032	
960|	5.6e-032	
970|	5.8e-032	
980|	6.1e-032	
990|	6.3e-032	
1000|	6.6e-032	
