TB
100|	1.1e-031	
110|	1.5e-031	
120|	2.1e-031	
130|	2.8e-031	
140|	3.5e-031	
150|	4.4e-031	
160|	5.3e-031	
170|	6.3e-031	
180|	7.4e-031	
190|	8.6e-031	
200|	9.9e-031	
210|	1.1e-030	
220|	1.3e-030	
230|	1.4e-030	
240|	1.6e-030	
250|	1.7e-030	
260|	1.9e-030	
270|	2.0e-030	
280|	2.2e-030	
290|	2.4e-030	
300|	2.6e-030	
310|	2.7e-030	
320|	2.9e-030	
330|	3.1e-030	
340|	3.3e-030	
350|	3.5e-030	
360|	3.7e-030	
370|	3.9e-030	
380|	4.1e-030	
390|	4.3e-030	
400|	4.5e-030	
410|	4.7e-030	
420|	4.9e-030	
430|	5.2e-030	
440|	5.4e-030	
450|	5.6e-030	
460|	5.8e-030	
470|	6.0e-030	
480|	6.2e-030	
490|	6.5e-030	
500|	6.7e-030	
510|	6.9e-030	
520|	7.1e-030	
530|	7.4e-030	
540|	7.6e-030	
550|	7.8e-030	
560|	8.1e-030	
570|	8.3e-030	
580|	8.5e-030	
590|	8.8e-030	
600|	9.0e-030	
610|	9.2e-030	
620|	9.5e-030	
630|	9.7e-030	
640|	9.9e-030	
650|	1.0e-029	
660|	1.0e-029	
670|	1.1e-029	
680|	1.1e-029	
690|	1.1e-029	
700|	1.1e-029	
710|	1.2e-029	
720|	1.2e-029	
730|	1.2e-029	
740|	1.2e-029	
750|	1.3e-029	
760|	1.3e-029	
770|	1.3e-029	
780|	1.3e-029	
790|	1.4e-029	
800|	1.4e-029	
810|	1.4e-029	
820|	1.4e-029	
830|	1.4e-029	
840|	1.5e-029	
850|	1.5e-029	
860|	1.5e-029	
870|	1.5e-029	
880|	1.6e-029	
890|	1.6e-029	
900|	1.6e-029	
910|	1.6e-029	
920|	1.7e-029	
930|	1.7e-029	
940|	1.7e-029	
950|	1.7e-029	
960|	1.8e-029	
970|	1.8e-029	
980|	1.8e-029	
990|	1.8e-029	
1000|	1.9e-029	
